127.0.0.1 - - [14/Nov/2018:11:03:32 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:03:35 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:03:35 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:05:09 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:05:10 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:05:55 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:05:55 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:07:14 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:07:14 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:08:06 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:08:06 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:12:43 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:12:43 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:14:07 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:14:08 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:14:50 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:14:50 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:15:26 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [14/Nov/2018:11:15:26 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 200 639
